video_url,video_id,video_title,author_name,video_category,comment_id,comment_text,comment_category,comment_time,like_count,reply_count,parent_comment_id,comment_level,user_name,crawl_time
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,索尔这种人最精了，一句众神之父赐我力量就上了，也不管赐没赐。,其他,3周前·浙江,1.0万,58,,一级评论,user_f9def875838373d0,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,不要忘了你雷神叔叔是个神,其他,3周前·四川,7011,42,,一级评论,user_2e6c39241c0e131b,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,此时的雷神已经天下无敌了,其他,3周前·天津,2666,,,一级评论,user_8ea7f8f911148a33,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,第四部喝成良子了,其他,3周前·浙江,900,,,一级评论,user_233a682b7b671678,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,后面又减回来了,其他,3周前·江西,252,,,一级评论,user_1a24c15c10566cd1,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,毕竟最后的主角是钢铁侠,其他,3周前·山西,213,,,一级评论,user_f81cbda1d3dddcd8,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,太招了，哪里都能看到切片小子美队和雷神关系一直不错，甚至电影中没有冲突，切片小子直接来一句“严父”谁能绷得住,其他,2周前·河北,13,1,,一级评论,user_0dedfae5fe193e91,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,下一期做美队的，现在美队风评确实被搞得太差了,其他,2周前·浙江,6,,,一级评论,user_f21bdcbfdd421110,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,这时期的雷神绝对天父级别，这表现力绝了，秒6宝石灭霸,其他,3周前·湖南,7911,113,,一级评论,user_bdbb951ab6c595d7,2026-09-11T13:33:43+08:00
https://v.douyin.com/VbdgIrHokHM/ 12/04 :5pm XMJ:/ J@V.Lw,7675895658934586664,为什么说那年你雷神叔叔选择了弹幕最多的救场方式 #雷神 #复仇者联盟 #漫威 #充能计划,私藏月色i,其他,,最强复仇者毋庸置疑,其他,3周前·广东,2393,67,,一级评论,user_d8913412a7abbf43,2026-09-11T13:33:43+08:00
